step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/c_t_step
175,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
176,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
177,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
178,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
179,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
180,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
181,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
182,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
183,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
184,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
185,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
186,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
187,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
188,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
189,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
190,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
191,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
192,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
193,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
194,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
195,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
196,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
197,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
198,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
199,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
200,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
201,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
202,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
203,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
204,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
205,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
206,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
207,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
208,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
209,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
210,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
211,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
212,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
213,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
214,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
215,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
216,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
217,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
218,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
219,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
220,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
221,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
222,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
223,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
224,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
225,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
226,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
227,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
228,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
229,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
230,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
231,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
232,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
233,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
234,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
235,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
236,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
237,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
238,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
239,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
240,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
241,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
242,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
243,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
244,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
245,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
246,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
247,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
248,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
249,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
250,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
251,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
252,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
253,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
254,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
255,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
256,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
257,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
258,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
259,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
260,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
261,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
262,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
263,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
264,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
265,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
266,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
267,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
268,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
269,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
270,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
271,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
272,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
273,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
274,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
275,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
276,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
277,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
278,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
279,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
280,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
281,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
282,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
283,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
284,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
285,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
286,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
287,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
288,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
289,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
290,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
291,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
292,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
293,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
294,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
295,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
296,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
297,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
298,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
299,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
300,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
